sdc_deal_number_1,project_name_x,project_country_x,developer_parent,developer_parent_country
154088689857,Hydrexia/WEDSB Selangor Hydrogen Oriented Resources (SHORE) Project,Malaysia,Hydrexia Holding Ltd,China
154088689857,Hydrexia/WEDSB Selangor Hydrogen Oriented Resources (SHORE) Project,Malaysia,Worldwide Holdings Berhad,Malaysia
154088589624,Penyu Basin Carbon Capture Storage Project,Malaysia,Petroliam Nasional Bhd,Malaysia
154088589624,Penyu Basin Carbon Capture Storage Project,Malaysia,State-owned [Abu Dhabi National Oil Co],United Arab Emirates
154088589624,Penyu Basin Carbon Capture Storage Project,Malaysia,Storegga Ltd,United Kingdom
154088561847,HDF Energy Mindanao Green Hydrogen Power Plant Portfolio Project,Philippines,Hydrogene De France SA,France
154088414622,Air Liquide/Vopak Banyan Terminal Hydrogen Distribution Pipeline Network Project,Singapore,Air Liquide SA,France
154088414622,Air Liquide/Vopak Banyan Terminal Hydrogen Distribution Pipeline Network Project,Singapore,Royal Vopak,Netherlands
154088413268,Nova RE Suria Paka Green Hydrogen Integration Phase 1 Project,Malaysia,Nova Re Suria Sdn Bhd,Malaysia
154088598587,DOE BARMM & Central Luzon Petroleum & Hydrogen Project,Philippines,State-owned [DOE],Philippines
154088393559,PLN/JERA Indonesia LNG Value Chain Project,Indonesia,State-owned [PLN],Indonesia
154088393559,PLN/JERA Indonesia LNG Value Chain Project,Indonesia,JERA Co Inc,Japan
154088404809,ExxonMobil / Shell Singapore Carbon Capture & Storage (CCS) Project,Singapore,Shell PLC,United Kingdom
154088404809,ExxonMobil / Shell Singapore Carbon Capture & Storage (CCS) Project,Singapore,State-owned [EDB],Singapore
154088404809,ExxonMobil / Shell Singapore Carbon Capture & Storage (CCS) Project,Singapore,Exxon Mobil Corp,United States
154088274305,Exxon Indonesia Petrochemical Project,Indonesia,Exxon Mobil Corp,United States
154088253503,Sembcorp & PLN Indonesia-Singapore Green Hydrogen Production & Export Project,Indonesia,State-owned [PLN],Indonesia
154088253503,Sembcorp & PLN Indonesia-Singapore Green Hydrogen Production & Export Project,Indonesia,State-owned [Temasek],Singapore
154088101847,Garuda Hidrogen Hijau Project,Indonesia,State-owned [PLN],Indonesia
154088101847,Garuda Hidrogen Hijau Project,Indonesia,State-owned [Pupuk],Indonesia
154088101847,Garuda Hidrogen Hijau Project,Indonesia,Acwa Power Co,Saudi Arabia
154088524472,Kaltim Prima Bengalon Coal to Ammonia Downstream Project,Indonesia,PT BUMI Resources Tbk,Indonesia
154088003222,Bontang Ammonia Production Facility Project,Indonesia,Topsoe AS,Denmark
154088003222,Bontang Ammonia Production Facility Project,Indonesia,Copenhagen Atomics As,Denmark
154088003222,Bontang Ammonia Production Facility Project,Indonesia,Aalborg CSP AS,Denmark
154088003222,Bontang Ammonia Production Facility Project,Indonesia,Alfa Laval Nordic AS,Sweden
154087879913,Thailand Hydrogen & Ammonia Supply Chain Project,Thailand,State-owned [EGCO],Thailand
154087879913,Thailand Hydrogen & Ammonia Supply Chain Project,Thailand,JERA Co Inc,Japan
154088524555,Kideco Jaya Agung Underground Coal Gasification (UCG) Project,Indonesia,Indika Energy Group,Indonesia
154087849570,Pengerang Integrated Complex Biorefinery Project,Malaysia,Enilive SpA,Italy
154087849570,Pengerang Integrated Complex Biorefinery Project,Malaysia,State-owned [Petronas],Malaysia
154087849570,Pengerang Integrated Complex Biorefinery Project,Malaysia,Euglena Co Ltd,Japan
154087823122,Thailand Green Hydrogen And Ammonia Plant Project,Thailand,State-owned [PTT],Thailand
154087823122,Thailand Green Hydrogen And Ammonia Plant Project,Thailand,State-owned [EGAT],Thailand
154087823122,Thailand Green Hydrogen And Ammonia Plant Project,Thailand,Acwa Power Co,Saudi Arabia
